Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
27.873518466949463	10	199.68432503206034	0.00920483924247971	199.70435754960144	199.65980957642955	122301
54.65780019760132	20	199.90842255238206	0.008643885533997713	199.92566382782655	199.88780062387588	245402
81.66018509864807	30	199.9706997002281	0.013821072881617137	199.99888875877332	199.91961019279378	371533
108.85503435134888	40	199.92763353406792	0.014194107655422976	199.96200990475538	199.89605119770042	497356
135.95461535453796	50	200.33879790913497	0.02769792653106959	200.36796934725953	200.26459750489596	624405
162.99298405647278	60	200.73991410121332	0.025078943266619913	200.7851499265744	200.6700458712524	750939
190.13999843597412	70	200.78078335757866	0.029912360369223265	200.83451485457064	200.71712561675332	877687
217.58299374580383	80	200.75349593714728	0.02880127948495991	200.78934407676212	200.64833018458955	1004896
244.81230473518372	90	200.81477336470678	0.027115919114471785	200.850492279401	200.704683663713	1132020
271.69472908973694	100	200.85729269587006	0.02925514201039835	200.91666132080718	200.79944540723758	1258564
298.3362476825714	110	200.90517064147127	0.046482192775882517	200.99009122269013	200.77025768934058	1384363
325.21301436424255	120	200.99447855314466	0.05560332116604022	201.14327336833406	200.926660630159	1510273
352.09823179244995	130	201.19502759083332	0.04982159880460463	201.3023174107202	201.08082195461478	1636972
378.7394199371338	140	201.3077285263528	0.04636730872586259	201.42553238157598	201.20596850957588	1763126
405.61365604400635	150	201.22317655892377	0.0579248462397875	201.30226991974183	200.92090765051745	1889377
432.595999956131	160	201.1827065779622	0.05920629040540575	201.3323969745859	201.04652306116384	2015570
459.63053154945374	170	201.2119681623879	0.05395315041951797	201.34315646446956	201.08237896518986	2142276
486.29001688957214	180	201.22351834718597	0.07094155235332938	201.3507944426922	200.98947273096667	2268681
513.4052233695984	190	201.2654362650084	0.08222439187767866	201.41965364923647	201.1438273418943	2395317
540.4859282970428	200	201.27485916326282	0.06431476480373571	201.37205286047669	200.93925938405704	2521957
567.3705263137817	210	201.2047316334687	0.08364571058363444	201.36318135767416	200.92957290594651	2648755
594.2791981697083	220	201.24115530120068	0.0839567338296714	201.37016449608583	200.749642914563	2774878
621.4439685344696	230	201.23433324450878	0.12247175748133657	201.4687552176782	200.94117078283057	2902104
648.446745634079	240	201.25300549851463	0.11844580894140515	201.45658708673494	200.90984285772905	3029195
675.2255704402924	250	201.22611418363263	0.08042124196621923	201.37201661195886	200.9745814677304	3156413
702.1285088062286	260	201.2891390410987	0.04998011553505494	201.42514800022133	201.16920432277297	3283424
729.2497346401215	270	201.24961346932506	0.05353775910651149	201.45334731115761	201.16583090923356	3410669
756.110303401947	280	201.32354712456603	0.06233572936016922	201.4622848033283	201.19795927197015	3537632
782.8830099105835	290	201.27283545246596	0.06593027240653869	201.44301145356354	201.11534759051753	3664007
809.7977924346924	300	201.28991876110194	0.08216027077198304	201.49429519747216	201.16918408134788	3791327
836.9895367622375	310	199.04711739110994	15.844166095777721	201.49449144966746	88.13898212901898	3918872
863.7263648509979	320	201.30247823315923	0.06248543159706597	201.4357940690813	201.08185776189643	4045917
890.3776686191559	330	201.2929979725447	0.10773127842755702	201.46674707832895	200.54499927669488	4172765
917.2655553817749	340	201.3298015608086	0.11119953064192435	201.5153828952988	201.1105733750407	4300091
944.4180471897125	350	201.21984590256653	0.10543042603175316	201.38631516105752	200.81654736177094	4426737
971.3097772598267	360	201.20711003814276	0.09984163621059407	201.38953428857627	200.93950352403422	4553791
998.2361755371094	370	201.2531718215628	0.14950230735459225	201.47631114834098	200.7024804045434	4681067
1025.0606060028076	380	201.29176009865827	0.11073205626660702	201.48772296196455	200.95368024995972	4808265
1051.9019105434418	390	201.29357484301482	0.08394532095828913	201.41687117447896	201.0205813194303	4935738
1078.8749072551727	400	201.3282132082796	0.06632704705998861	201.4372601846338	201.02934964908127	5062693
1105.8936178684235	410	201.3389026386141	0.1050890109508331	201.46388467861274	200.84426243115504	5190322
1132.8104541301727	420	201.25064437043494	0.10124229660147199	201.42487515020903	200.65980229530172	5317489
1159.7093772888184	430	201.31563808392028	0.09083100183938131	201.43697542270493	200.9426703319894	5445119
1186.664716243744	440	201.303235210891	0.13954197218943865	201.4743105124585	200.95585956888314	5571654
1213.8122458457947	450	201.33015860012816	0.0891752755576072	201.45967649249573	200.9441490138935	5699298
1241.0528569221497	460	201.3290360977663	0.07567268142759354	201.47734513393073	201.1692573225576	5826343
1268.0740416049957	470	201.36776951027437	0.057394373681985425	201.452322374706	201.19220599235945	5953477
1295.190066576004	480	201.42129682875782	0.08376614433684884	201.56250056500204	201.14137178968488	6081087
1322.2632224559784	490	201.36396589075338	0.05952085721658548	201.44712418129095	201.12013750638243	6207528
1349.2665057182312	500	201.35812410255775	0.037779269606021515	201.4348408354034	201.22049933457512	6334229
1376.0170204639435	510	201.4255800056383	0.05511443714152583	201.5212701979959	201.26112552542216	6461090
1402.8771743774414	520	190.41774480724155	43.81864237717542	201.5918591055341	16.97730584389604	6587893
1429.7749116420746	530	201.3953758590858	0.09521590784717088	201.57029837245972	201.13649471817132	6712859
1456.8605012893677	540	201.3255573083911	0.08653096928571434	201.50274437618572	201.08096631908728	6838433
1483.8920502662659	550	201.41672442178725	0.08222844255577548	201.54301506806326	201.17184960302222	6965725
1510.8508422374725	560	201.43537292131117	0.0818677159214734	201.59167259568432	201.20579736455082	7092722
1537.8831453323364	570	201.39955051598034	0.07966353805668061	201.56768488603933	201.04768739247868	7219011
1564.8458318710327	580	201.3888846243725	0.06085992685223643	201.4732100479128	201.15741168573518	7346071
